interval,100-meter,500-meter,is_male,fall
4.422,10.07,36.149,1,0
4.125,10.21,35.834,1,0
4.125,9.88,35.532,1,0
3.92,10.12,36.144,1,0
3.92,9.95,35.795,1,0
4.196,10.07,36.734,1,1
4.196,10.14,36.642,1,0
4.052,9.78,36.152,1,0
4.052,9.97,35.915,1,0
3.938,10.07,36.183,1,0
3.938,9.84,36.193,1,0
4.859,10.18,36.42,1,0
4.859,9.9,35.94,1,0
4.087,9.94,36.261,1,0
4.087,10.01,36.482,1,0
4.176,9.78,35.386,1,0
4.176,9.73,35.133,1,0
3.985,9.82,35.957,1,0
3.985,9.78,35.596,1,0
4.597,9.99,35.662,1,0
4.597,9.84,35.577,1,0
3.747,9.86,35.943,1,0
3.747,9.69,35.094,1,0
4.223,9.63,34.923,1,0
4.223,9.65,35.16,1,0
3.602,9.98,35.552,1,0
3.602,10.1,35.45,1,0
3.779,9.69,35.116,1,0
3.779,9.65,35.315,1,0
4.017,9.65,35.175,1,0
4.017,9.7,35.142,1,0
4.467,9.54,35.053,1,0
4.467,9.55,34.937,1,0
4.267,9.55,34.863,1,0
4.267,9.47,35.174,1,0
3.59,9.67,35.108,1,0
3.59,9.63,35.145,1,0
4.202,9.77,35.155,1,0
4.202,9.71,35.218,1,0
4.647,11.04,39.816,0,0
4.647,10.99,39.879,0,0
4.985,10.69,38.893,0,0
4.985,10.88,39.899,0,0
4.227,10.9,39.182,0,0
4.227,10.97,39.649,0,0
4.604,10.86,39.48,0,0
4.604,10.86,39.396,0,0
4.282,10.83,39.514,0,0
4.282,10.82,39.595,0,0
4.285,10.72,39.024,0,0
4.285,10.8,39.365,0,0
4.495,10.7,38.761,0,0
4.495,11.05,39.351,0,0
4.794,10.66,39.422,0,0
4.794,10.5,39.357,0,0
4.978,10.78,38.686,0,0
4.978,10.97,39.782,0,0
4.629,10.64,39.302,0,0
4.629,10.84,39.359,0,0
4.37,10.86,38.881,0,0
4.37,10.89,39.002,0,0
4.129,10.51,38.53,0,0
4.129,10.49,38.971,0,0
3.813,10.45,38.792,0,0
3.813,10.6,38.892,0,0
3.576,10.69,38.698,0,0
3.576,10.5,38.964,0,0
3.873,10.46,38.487,0,0
3.873,10.51,38.566,0,0
3.544,10.75,38.835,0,0
3.544,10.44,97.952,0,1
3.946,10.34,38.249,0,0
3.946,10.26,38.307,0,0
3.989,10.68,38.511,0,0
3.989,10.59,38.594,0,0
4.988,10.21,36.111,1,0
5.192,10.16,36.094,1,0
4.259,9.79,35.539,1,0
4.312,10.15,36.276,1,0
3.685,10.02,35.715,1,0
4.996,10.13,36.314,1,1
3.676,10.06,37.934,1,1
4.602,9.82,36.204,1,0
4.312,10.04,35.928,1,0
3.996,10.04,36.179,1,0
4.602,9.96,36.047,1,0
4.949,10.22,36.614,1,0
4.988,10.01,36.047,1,0
3.676,9.95,36.27,1,0
3.996,10.01,36.465,1,0
4.236,9.82,35.253,1,0
4.662,9.86,35.335,1,0
3.685,9.86,35.842,1,0
3.941,9.84,35.753,1,0
4.259,9.97,35.669,1,0
5.192,9.91,35.767,1,0
3.941,9.97,36.535,1,0
3.686,9.69,35.188,1,0
3.686,9.61,34.906,1,0
4.522,9.66,35.051,1,0
3.873,9.99,35.64,1,0
3.899,9.73,35.12,1,0
3.873,9.72,35.347,1,0
3.727,9.62,35.113,1,0
3.961,9.7,35.126,1,0
4.662,9.53,34.988,1,0
4.412,9.56,35.076,1,0
4.412,9.63,35.181,1,0
3.727,9.55,35.254,1,0
3.961,9.64,34.876,1,0
3.899,9.7,35.344,1,0
4.522,9.79,35.146,1,0
4.236,9.69,35.138,1,0
4.274,11.04,39.768,0,0
3.832,10.99,39.876,0,0
4.012,10.66,38.577,0,0
4.014,10.78,39.854,0,0
4.012,11.04,39.281,0,0
4.014,10.91,39.4,0,0
4.08,10.85,39.285,0,0
4.327,10.88,39.406,0,0
4.274,10.9,39.587,0,0
4.567,10.85,39.549,0,0
4.041,10.75,39.116,0,0
4.327,10.71,39.321,0,0
3.994,10.72,38.83,0,0
4.502,11.13,39.473,0,0
4.567,10.65,39.21,0,0
4.699,10.6,39.486,0,0
4.223,10.68,38.711,0,0
4.08,10.87,38.947,0,0
4.338,10.63,38.845,0,0
4.699,10.72,39.077,0,0
3.994,10.77,38.694,0,0
4.502,10.91,39.048,0,0
4.418,10.58,38.807,0,0
4.338,10.57,39.06,0,0
3.629,10.55,38.849,0,0
4.041,10.56,38.869,0,0
3.629,10.66,38.477,0,0
4.098,10.49,38.765,0,0
3.479,10.45,38.144,0,0
4.418,10.55,38.432,0,0
4.098,10.84,38.797,0,0
3.832,10.59,38.709,0,0
3.984,10.29,37.85,0,0
3.984,10.14,37.838,0,0
3.479,10.69,38.365,0,0
4.223,10.45,108.446,0,1
